Standingstill,Distance covered,Mean,Max distance covered,Starting -ending position,Label
300,12.30290891,0.020504848,0.126385444,15.53204001,StandingStill
300,6.722079208,0.011203465,0.101001476,19.35611635,StandingStill
300,7.503041373,0.012505069,0.094751825,11.58216427,StandingStill
25,406.8620774,0.678103462,7.461599454,172.4421814,Walking
10,420.1658071,0.700276345,3.953471653,219.8991785,Walking
16,395.1565046,0.658594174,3.196521609,135.9320167,Walking
17,370.8251791,0.618041965,3.652570605,156.9612906,Walking
31,347.5941223,0.579323537,3.207328927,133.639972,Walking
14,565.6373842,0.942728974,8.261765584,129.5630769,Walking
23,515.1560458,0.85859341,5.242608835,101.4600804,Walking
51,464.6702801,0.774450467,5.083906603,80.66840536,Walking
31,464.4254203,0.774042367,7.025206069,132.8184186,Walking
22,514.8046337,0.858007723,8.096100917,77.31738992,Walking
30,482.6662475,0.804443746,5.965675893,112.8601085,Walking
41,441.1913905,0.735318984,7.882683447,7.554916466,Walking
64,418.5315833,0.697552639,8.256653976,29.35647269,Walking
57,485.1014422,0.808502404,7.197474138,62.23903293,Walking
51,506.2195947,0.843699325,7.203265128,80.47805604,Walking
41,410.683503,0.684472505,6.540953819,82.31816533,Walking
51,427.4155857,0.71235931,7.506605493,89.20945629,Walking
30,478.346131,0.797243552,7.643195446,34.89162265,Walking
44,438.1899452,0.730316575,6.985909539,72.38820722,Walking
31,495.8358673,0.826393112,9.906990065,43.42717147,Walking
33,388.8103551,0.648017258,4.074524985,69.05407996,Walking
63,307.537498,0.512562497,4.060404612,32.11941087,Walking
70,321.2572814,0.535428802,3.978961601,35.27935425,Walking
78,298.6797053,0.497799509,3.209398121,41.51763082,Walking
42,346.6810984,0.577801831,4.988273921,28.13481131,Walking
82,278.6774603,0.464462434,3.015398614,133.4342876,Walking
112,241.5414035,0.402569006,2.438004335,26.7274534,Walking
111,240.1020511,0.400170085,2.532329992,28.4373547,Walking
120,225.5496184,0.375916031,2.791674903,8.071510364,Walking
121,223.9885707,0.373314285,2.589199209,26.27619534,Walking
96,314.3560373,0.523926729,7.786403246,28.24609575,Walking
68,332.408783,0.554014638,4.327648268,30.93606635,Walking
86,298.6263086,0.497710514,6.503491274,30.47345476,Walking
84,306.9494602,0.511582434,7.172553368,59.05096765,Walking
39,359.1748842,0.598624807,7.872220137,47.65390547,Walking
15,583.9311345,0.973218557,9.717810193,126.1044479,Walking
15,558.6399467,0.931066578,8.144340957,58.2169858,Walking
19,593.4349067,0.989058178,9.043203123,144.3013849,Walking
27,520.6421127,0.867736855,8.285868281,79.45559968,Walking
18,572.1325774,0.953554296,9.342491502,133.4282158,Walking
45,368.6027617,0.614337936,4.913402027,57.73826154,Walking
56,321.682178,0.536136963,5.205488049,38.08916193,Walking
87,328.2746087,0.547124348,7.651956527,56.38521748,Walking
40,337.8415659,0.563069277,4.962984619,43.20950849,Walking
44,338.4112684,0.564018781,5.951940716,46.75058478,Walking
89,351.3900564,0.585650094,5.072790704,11.75349178,Walking
80,304.8985425,0.508164238,5.803382132,5.960293602,Walking
128,257.1653825,0.428608971,5.070514574,68.85524674,Walking
68,360.8161529,0.601360255,7.054770714,57.56691426,Walking
91,326.4482136,0.544080356,5.52859136,38.33241039,Walking
126,245.4858394,0.409143066,3.095308263,36.90656882,Walking
115,240.1524873,0.400254145,2.519450287,46.46585328,Walking
93,262.862993,0.438104988,2.68570351,37.71015202,Walking
99,262.116133,0.436860222,3.470292688,61.25094292,Walking
134,222.2695363,0.370449227,2.613540254,38.19574858,Walking
41,399.1596598,0.6652661,5.508121505,62.25193104,Walking
90,375.482255,0.625803758,7.839411971,127.5227051,Walking
55,449.0950055,0.748491676,8.537257718,100.7444905,Walking
24,498.3593724,0.830598954,6.171155911,58.36566733,Walking
48,480.8700983,0.801450164,7.893900867,115.3233923,Walking
8,673.5236609,1.122539435,9.295892559,76.11952455,Walking
16,616.8235234,1.028039206,9.181704166,57.44738963,Walking
15,657.6483059,1.09608051,10.27219636,114.0042618,Walking
18,629.7237445,1.049539574,13.94723861,33.18570195,Walking
24,610.0374439,1.016729073,8.337873645,80.17799311,Walking
37,432.7084894,0.721180816,6.584226485,87.63029707,Walking
62,412.3736632,0.687289439,5.517022948,29.7004844,Walking
