856,419
316,267
533,419
560,665
609,642
860,419
319,261
529,412
555,663
616,641
868,400
320,281
542,415
583,670
641,661
871,400
323,281
547,416
584,670
644,662
324,281
546,417
583,673
645,665
875,401
325,277
544,411
582,671
648,662
876,401
329,279
543,407
581,667
648,659
332,283
546,409
583,663
646,656
866,422
337,271
549,413
559,649
615,628
867,424
336,264
551,413
562,651
616,627
866,426
335,261
554,412
566,652
621,628
878,401
331,297
568,432
605,675
661,660
896,406
338,294
561,422
570,648
635,662
895,399
335,292
556,417
567,646
633,659
891,400
325,292
556,412
562,641
632,655
891,397
326,293
554,411
565,639
631,652
894,397
325,297
550,408
563,640
629,652
896,398
341,275
547,390
586,646
655,639
900,397
560,409
572,647
641,659
902,399
343,286
576,658
648,665
891,384
341,285
565,405
605,665
679,647
893,382
338,280
564,403
605,663
679,645
895,381
567,400
608,662
683,644
897,382
342,269
564,394
605,661
686,644
896,382
346,267
563,394
607,663
690,646
896,381
352,276
562,397
609,664
690,647
900,382
354,274
565,395
615,662
692,645
903,380
350,267
570,391
619,663
701,647
895,376
359,274
569,408
597,661
671,658
897,373
353,268
567,392
614,663
699,648
895,370
351,266
570,393
618,664
698,647
896,368
349,264
571,391
617,660
696,643
898,371
349,266
570,390
615,659
696,642
901,374
352,266
569,389
617,662
697,646
895,377
360,269
575,407
600,661
675,656
899,379
363,264
583,408
604,666
684,663
915,397
375,257
573,394
610,666
697,651
898,382
367,278
576,414
603,667
679,669
909,398
369,264
558,394
607,665
687,650
901,388
360,278
570,399
620,666
699,650
360,279
568,401
624,668
698,651
893,379
359,276
567,402
624,672
699,657
358,272
570,398
623,668
699,652
896,377
368,275
576,409
604,658
675,655
901,373
362,267
578,406
604,665
682,664
902,372
360,262
579,404
682,662
903,374
364,262
582,405
609,666
685,662
908,377
369,268
590,406
614,658
685,655
920,400
386,254
585,387
617,656
705,639
916,398
388,255
582,386
611,651
702,634
917,399
388,253
585,389
616,655
702,637
915,399
391,253
581,387
613,652
701,634
913,401
586,386
616,647
701,629
914,398
391,250
582,385
615,648
696,629
912,396
388,249
578,385
613,648
693,630
912,395
387,251
577,385
611,649
693,632
912,391
385,252
612,650
694,633
912,393
384,253
575,385
610,651
697,635
913,393
575,386
611,654
697,637
914,393
579,391
616,658
695,640
913,396
382,252
576,389
614,659
699,641
912,398
575,387
698,636
912,401
384,249
576,387
613,655
700,637
913,402
385,248
577,388
613,658
701,638
915,404
384,251
579,387
614,656
702,639
916,403
384,250
578,387
611,656
703,640
915,402
382,249
577,386
611,658
705,641
917,397
382,253
613,660
703,643
384,258
613,657
916,396
384,259
578,390
616,659
700,643
385,259
577,390
699,642
383,257
575,388
612,659
574,388
612,660
699,643
916,400
382,255
614,662
703,645
906,383
373,265
588,407
615,664
689,660
910,378
374,266
592,403
615,657
689,653
913,380
372,262
596,401
618,657
694,652
387,250
584,383
704,631
915,400
389,250
583,383
616,642
695,625
917,404
392,249
589,382
617,640
693,624
915,389
387,248
598,391
605,638
672,632
914,384
385,247
596,392
606,638
672,631
908,388
393,248
585,383
618,647
694,627
908,381
394,251
583,385
691,627
907,378
400,253
583,386
907,372
402,253
581,382
614,644
697,625
909,380
405,256
584,384
613,641
918,369
390,263
600,403
624,653
693,651
926,364
387,256
604,399
693,648
940,364
388,259
609,401
626,651
697,648
937,364
387,257
606,401
626,652
695,647
920,364
387,255
600,399
623,652
694,647
913,392
397,250
580,385
611,644
700,626
915,394
394,248
584,386
613,643
696,625
394,245
590,388
621,648
697,626
928,377
375,256
608,406
619,662
695,660
929,379
369,256
604,405
614,657
689,655
921,397
389,248
613,651
698,632
907,403
384,246
576,388
691,632
911,410
584,391
615,645
683,627
913,411
591,394
617,651
692,636
916,428
379,252
597,400
615,654
691,641
916,418
379,255
599,400
616,653
689,639
920,401
377,258
595,400
615,660
693,647
923,404
375,260
597,402
614,661
693,649
907,380
356,272
608,414
607,660
691,661
905,377
355,274
604,413
603,659
690,661
352,273
604,414
603,661
690,663
900,381
348,279
602,412
598,654
687,659
906,384
344,276
599,402
620,668
707,655
904,384
342,276
595,402
615,670
707,656
903,381
343,277
592,404
619,673
706,658
905,380
344,277
594,404
623,675
706,659
905,384
347,278
599,407
627,676
707,661
902,380
349,286
603,417
601,653
686,661
919,404
364,266
587,406
616,675
691,665
919,402
