203,62,344,137,282,188,248,298,307,303
203,62,343,137,282,188,248,298,308,303
214,68,343,142,279,189,250,296,309,301
216,69,342,144,281,192,250,297,308,303
222,70,342,143,280,192,251,299,308,304
232,76,342,144,281,195,252,300,309,305
232,80,341,138,289,196,253,300,301,308
239,90,339,141,291,199,255,299,303,308
244,94,335,142,290,199,254,298,303,309
249,107,337,140,288,192,254,298,305,298
252,112,333,137,289,191,254,301,305,299
255,117,332,134,289,190,255,301,305,299
255,119,333,133,290,190,256,301,305,298
255,119,334,133,290,190,256,300,305,297
255,120,334,133,290,189,255,300,305,297
255,120,334,132,290,189,255,299,305,296
255,120,334,132,290,190,256,299,305,297
255,120,334,133,290,189,255,299,305,297
256,121,333,133,290,190,255,300,305,297
256,121,334,132,290,190,256,299,305,296
257,120,333,132,290,190,256,300,305,296
256,121,333,132,291,190,256,300,305,297
256,121,332,132,291,190,256,301,305,297
257,122,333,132,292,190,257,301,305,297
256,122,331,132,292,190,256,301,305,298
256,121,329,133,292,191,257,302,305,298
256,122,329,133,292,191,257,302,305,298
256,122,329,132,293,191,257,301,305,298
256,121,326,134,294,191,257,302,305,299
255,122,325,133,294,191,257,302,305,299
255,122,323,134,296,191,258,303,306,301
255,122,322,134,296,191,257,303,307,301
255,123,322,134,295,190,256,303,307,301
255,124,321,133,295,190,255,303,307,301
255,123,320,134,295,190,255,304,308,301
258,106,322,139,294,195,254,297,304,314
277,103,303,138,288,193,258,300,303,314
299,108,283,130,274,192,260,302,303,309
314,110,269,126,260,192,260,303,303,303
324,111,260,126,253,192,259,302,302,299
332,111,257,127,250,192,255,303,300,299
339,111,257,128,250,191,250,303,299,300
342,108,256,129,250,190,248,302,298,299
343,107,257,131,251,190,243,300,298,299
344,107,257,132,252,189,242,298,297,298
344,107,255,132,249,190,244,299,296,297
344,108,248,134,243,192,242,304,296,299
344,108,244,134,239,193,236,311,295,304
345,107,244,139,238,196,233,315,292,306
345,106,245,140,237,196,233,315,293,307
344,106,243,141,235,197,232,317,292,308
342,107,241,141,231,197,231,318,291,308
342,108,240,140,229,196,231,318,291,308
341,109,238,139,226,195,230,318,291,307
340,109,236,141,224,196,229,318,290,308
338,110,238,139,222,195,229,318,289,308
332,108,233,137,222,194,229,316,287,306
326,101,237,131,221,188,230,315,288,305
329,99,231,130,217,187,227,315,287,304
331,99,227,130,215,188,225,316,286,304
333,98,220,128,214,187,224,316,286,303
334,97,215,127,214,187,224,317,285,304
